categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;13:01:51;2;RECOLETA;;2205;-34.587568848572104;-58.3953276332119;GCS Web;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;22:32:09;13;NUÑEZ;;7422;-34.5452580032899;-58.45933007876351;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;23:41:40;11;VILLA DEL PARQUE;;3187;-34.602103527755396;-58.494494951658204;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;23:09:20;14;PALERMO;;1445;-34.5897672609894;-58.431698592081005;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;23:30:17;11;VILLA DEL PARQUE;;3105;-34.6006493194092;-58.49415145395571;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;17:55:07;14;PALERMO;;1777;-34.58963302162989;-58.4159377391746;GCS Web;Femenino;Cerrado;17/12/2021;00:00:00
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;16/12/2021;22:01:14;14;PALERMO;;2155;-34.5780004321877;-58.4392125771041;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;17/12/2021;11:55:17;11;VILLA DEL PARQUE;;3746;-34.6080158231672;-58.4982476629789;App BA 147;Masculino;Cerrado;17/12/2021;00:00:00
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;17/12/2021;00:16:25;1;PUERTO MADERO;;670;-34.611488392182004;-58.359410574186604;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;17/12/2021;01:47:57;5;ALMAGRO;;561;-34.618411890685;-58.420588288747204;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;17/12/2021;00:12:35;9;LINIERS;;6255;-34.647378948756106;-58.5124849723771;App BA 147;Femenino;Cerrado;17/12/2021;00:00:00
