,categoria,subcategoria,prestacion,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_comuna,domicilio_barrio,domiclio_calle,domicilio_altura,lat,lon,canal,genero,estado_del_contacto,fecha_cierre_contacto,hora_cierre_contacto
4980,RECICLADO Y PROTECCIÓN AMBIENTAL,CONTROL AMBIENTAL,CONSULTA TÉCNICA SOBRE TRAMITES DE INSCRIPCIÓN EN EL REGISTRO DE ACTIVIDADES CATALOGADAS COMO POTENCIALMENTE CONTAMINANTES POR RUIDOS Y VIBRACIONES (RAC),Solicitud,2021-12-21,11:00:35,9,MATADEROS,,5101.0,-34.6463671382582,-58.4969499200775,GCS Web,Masculino,Cerrado,21/12/2021,00:00:00
4981,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-21,14:50:11,13,NUÑEZ,,2350.0,-34.5540281752492,-58.4625654394178,GCS Web,Femenino,Abierto,,
4982,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-21,20:01:50,12,VILLA URQUIZA,,4141.0,-34.578695669175,-58.4794677751839,GCS Web,Femenino,Abierto,,
4983,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-21,09:24:55,15,CHACARITA,,640.0,-34.5848601430718,-58.454368962421206,App BA 147,Femenino,Abierto,,
4984,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-21,21:33:14,5,ALMAGRO,,1050.0,-34.5981292126874,-58.4190144992245,App BA 147,Masculino,Abierto,,
4985,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-21,17:19:10,13,BELGRANO,,2321.0,-34.5668659594454,-58.4496288782544,GCS Web,Masculino,Abierto,,
4986,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-21,23:13:30,13,BELGRANO,,2789.0,-34.5579832159652,-58.46532780479429,App BA 147,Masculino,Abierto,,
4987,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-21,10:46:42,2,RECOLETA,,1940.0,-34.5888314534581,-58.399549209852,GCS Web,Masculino,Abierto,,
4988,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-21,08:44:43,2,RECOLETA,,2197.0,-34.5864954970952,-58.4067256280116,App BA 147,Femenino,Abierto,,
4989,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",MALOS OLORES / HUMOS / GASES TÓXICOS,Denuncia,2021-12-21,19:21:48,13,BELGRANO,,,-34.559697501875604,-58.464226754932696,App BA 147,Masculino,Abierto,,
4990,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-21,19:35:19,3,BALVANERA,,436.0,-34.604189414947804,-58.39537154478371,App BA 147,Masculino,Abierto,,
4991,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-21,21:05:36,1,SAN NICOLAS,,101.0,-34.607812114172,-58.391951410417,GCS Web,Masculino,Abierto,,
4992,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",MALOS OLORES / HUMOS / GASES TÓXICOS,Denuncia,2021-12-21,17:57:43,7,FLORES,,222.0,-34.6336551308946,-58.4682057007034,App BA 147,Masculino,Cerrado,22/12/2021,00:00:00
4993,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,13:41:31,5,ALMAGRO,,4157.0,-34.6045286983566,-58.4237461839892,App BA 147,Masculino,Abierto,,
4994,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,10:09:06,2,RECOLETA,,1901.0,-34.587607706464404,-58.390586316587296,App BA 147,Femenino,Abierto,,
4995,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,15:01:24,1,MONSERRAT,,299.0,-34.6157976740463,-58.37031691269689,GCS Web,Femenino,Abierto,,
