,categoria,subcategoria,prestacion,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_comuna,domicilio_barrio,domiclio_calle,domicilio_altura,lat,lon,canal,genero,estado_del_contacto,fecha_cierre_contacto,hora_cierre_contacto
3045,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-18,18:53:34,3,BALVANERA,"PERON, JUAN DOMINGO, TTE. GENERAL",2581.0,-34.6074716027942,-58.4031020423902,GCS Web,Femenino,Cerrado,19/08/2021,00:00:00
3046,CALLES Y VEREDAS,OTROS,AJUSTE DE CHAPA METÁLICA POR RUIDOS MOLESTOS EN CALLE,Solicitud,2021-08-18,11:31:04,1,SAN NICOLAS,TUCUMAN,,-34.6012787786523,-58.3796008721808,Comuna,Masculino,Abierto,,
3047,CALLES Y VEREDAS,OTROS,AJUSTE DE CHAPA METÁLICA POR RUIDOS MOLESTOS EN CALLE,Solicitud,2021-08-18,22:49:08,12,SAAVEDRA,CABILDO AV.,,-34.5438186239094,-58.4720947132851,GCS Web,Femenino,Abierto,,
3048,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-19,17:35:52,14,PALERMO,"SCALABRINI ORTIZ, RAUL",3136.0,-34.5805042606283,-58.410274868673,GCS Web,Femenino,Abierto,,
3049,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-19,21:44:11,2,RECOLETA,SANCHEZ DE BUSTAMANTE,1340.0,-34.5947259202076,-58.4127016198197,GCS Web,Femenino,Abierto,,
3050,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-19,12:50:17,2,RECOLETA,AYACUCHO,1267.0,-34.5938874744878,-58.3957248502602,App BA 147,Femenino,Abierto,,
3051,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-19,01:43:50,7,PARQUE CHACABUCO,DIRECTORIO AV.,724.0,-34.6286379354362,-58.4375587402874,App BA 147,Femenino,Abierto,,
3052,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-19,22:55:52,14,PALERMO,GURRUCHAGA,2140.0,-34.585907755855,-58.4240426844647,App BA 147,Femenino,Abierto,,
3053,CALLES Y VEREDAS,OTROS,AJUSTE DE CHAPA METÁLICA POR RUIDOS MOLESTOS EN CALLE,Solicitud,2021-08-19,10:44:18,2,RECOLETA,PARAGUAY,2393.0,-34.5977620304013,-58.4019030381649,App BA 147,Masculino,Abierto,,
3054,CALLES Y VEREDAS,OTROS,AJUSTE DE CHAPA METÁLICA POR RUIDOS MOLESTOS EN CALLE,Solicitud,2021-08-19,15:34:44,12,SAAVEDRA,CABILDO AV.,4396.0,-34.5439127346256,-58.4721931135997,App BA 147,Femenino,Abierto,,
3055,CALLES Y VEREDAS,OTROS,AJUSTE DE CHAPA METÁLICA POR RUIDOS MOLESTOS EN CALLE,Solicitud,2021-08-19,14:55:12,13,NUÑEZ,CORREA,2363.0,-34.5436102902799,-58.4717679186039,App BA 147,Femenino,Cerrado,20/08/2021,00:00:00
